Poster,Title,Year,Certificate,Duration (min),Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review
2442,5222,56,22,47,65,46,50,2566,1645,4543,5563,789,1510,2775
4947,6188,56,18,27,366,32,39,574,3486,2551,671,629,5770,361
4450,4056,56,19,24,136,57,77,115,6104,5523,1096,52,183,5583
3322,922,56,18,26,0,24,42,2025,3079,5,4738,294,3460,6206
2431,5076,56,7,55,317,48,66,2606,496,1696,4989,1224,2070,216
267,3277,56,10,64,365,46,70,1321,1353,2695,5363,221,4341,5073
1851,4951,56,10,102,251,56,61,2007,5343,5245,4150,117,663,3971
6194,4756,56,22,43,187,47,55,564,341,4248,1596,924,1240,1920
5560,5365,56,19,32,85,58,71,2092,878,4184,201,1161,4881,5393
2266,1318,56,10,99,200,63,74,2007,2549,78,6357,158,1381,2279
2392,1981,56,10,73,164,59,64,1687,267,4885,6372,1158,5648,6122
3108,4719,56,17,67,5,45,56,812,3023,1357,2557,1168,5391,4479
366,3608,56,19,63,336,56,75,1198,3444,3317,4973,47,3932,4158
3831,491,56,7,120,190,49,54,497,675,1419,1698,1070,3934,3875
5350,1606,56,18,35,286,40,44,31,3717,1851,3141,719,1589,4930
4362,3603,56,22,31,195,45,49,975,4398,5997,1315,319,3570,4235
6095,6158,56,22,41,68,43,33,832,2306,4626,5220,825,41,3677
936,2440,56,10,35,40,52,61,377,3426,5549,2819,100,4449,3501
3990,2525,56,10,45,40,60,62,2007,6078,31,2360,386,2265,365
4919,46,56,10,47,319,53,66,532,1158,4129,3695,111,551,4203
3297,3540,31,22,77,7,59,56,892,3106,37,3189,389,1648,1632
2510,2892,31,15,55,56,43,76,1898,4533,6027,5225,1215,1120,2689
2175,163,31,10,24,319,53,75,1247,1792,4837,579,406,3292,1583
3882,1687,31,17,43,366,33,26,718,3207,6169,1822,14,216,3521
6375,497,31,19,50,93,63,80,2127,4273,45,4478,124,2546,771
119,1560,31,18,37,13,26,23,2247,2633,3812,2986,569,5803,5643
2092,4266,31,22,61,12,57,75,1007,1060,5075,5182,5,117,4499
1639,4735,31,22,98,51,62,71,447,1107,82,3491,417,4596,3942
4754,379,31,10,52,72,44,33,1539,5402,6208,3157,1056,5394,5123
1900,5360,31,19,64,332,63,59,447,1094,58,2341,124,3824,6027
2440,1839,31,4,38,366,56,78,1321,1351,5341,2018,181,3267,1761
3371,1636,31,18,64,164,43,66,1731,46,4085,4896,453,1537,1260
6341,6157,31,22,38,12,51,57,335,4686,5167,4072,147,4446,152
3192,882,31,22,66,336,56,87,1540,5866,3172,3933,1236,538,895
4845,2752,31,19,69,336,56,84,922,5374,2482,4322,28,2606,2312
352,3754,31,18,68,251,46,45,900,573,5994,5663,520,4553,4389
4587,2080,31,10,61,317,51,80,183,6022,3625,745,549,2530,4300
5002,4531,31,17,38,208,9,43,1453,3296,5724,2155,861,3580,2202
5705,2365,31,10,69,353,51,62,146,615,4982,4192,204,4762,6030
2913,4773,31,10,49,336,49,56,244,4311,870,2022,457,6094,189
5556,2765,31,10,71,49,59,70,1050,2308,5867,4028,89,2840,5012
4534,5511,31,19,26,136,48,39,2,4286,2363,1290,9,3155,4570
1799,10,31,19,30,243,68,90,2293,2266,5954,5271,208,3555,5199
1465,1117,31,10,52,195,52,61,883,3059,4766,1112,673,1277,961
664,1209,31,19,37,175,54,75,2063,2612,1948,5158,793,842,5048
1072,5188,31,22,66,5,47,47,176,1496,2252,4902,759,4828,608
158,2596,31,10,72,251,60,84,490,3547,5031,3026,1026,1910,3585
2823,5227,31,10,41,223,50,64,1612,4890,3766,2088,1182,4867,4858
4699,3861,31,18,57,17,59,67,2157,1326,4546,5318,854,1929,5971
3892,4714,31,18,57,51,53,56,932,2452,1377,3474,750,3262,6054
6230,1400,31,10,34,41,56,72,1851,5242,5418,1181,156,109,407
5333,474,31,22,122,7,53,60,1033,5332,4404,4274,404,3113,3410
3554,310,31,18,94,166,62,80,1788,1911,4004,5300,937,3857,4122
4988,5527,31,10,41,12,59,77,1033,430,6140,908,1148,3543,3285
2524,612,31,19,29,12,38,39,2420,2494,4559,5384,297,81,836
4786,757,31,7,89,286,57,79,1933,3980,2857,3093,898,1303,860
6069,1424,31,22,68,3,50,65,1231,3155,2240,295,814,4435,976
6115,4610,31,22,38,104,36,24,2024,759,5606,4137,330,1564,3022
710,811,31,19,30,289,50,67,806,3203,1528,1335,629,65,4345
1440,3617,31,10,87,251,60,63,627,2304,5807,5993,1214,369,5682
1917,4064,57,10,55,34,55,75,627,1793,4295,2839,1046,1835,99
5923,334,57,10,36,248,54,57,1640,1099,5463,1886,113,444,1435
4770,4912,57,24,56,72,43,42,1197,387,2370,6228,379,2049,3900
3225,1582,57,17,41,72,42,55,2241,2124,235,6075,935,1217,1603
6287,1784,57,10,42,36,50,41,2119,2216,3391,5754,885,1560,2231
6019,1001,57,25,46,202,22,34,1396,847,4229,1135,247,2647,1556
1768,4893,57,10,128,243,68,83,772,125,49,5219,39,5315,5562
1150,3630,57,10,58,122,48,57,2077,4606,5165,3609,180,5393,4501
4611,1756,57,22,49,3,49,55,2279,5267,4001,5982,250,4651,1866
1168,1529,57,22,42,337,61,82,1760,2873,12,6264,211,27,47
3861,4776,57,18,51,251,47,62,2103,1835,3261,2240,580,546,5811
783,3350,57,10,41,336,48,41,1529,339,1418,2492,478,100,5844
1536,2800,57,22,46,195,45,48,698,2449,2232,3941,456,3431,5211
4093,1873,57,22,61,161,51,44,1050,6275,2087,491,740,1338,1701
4523,1893,57,22,47,70,41,52,29,169,2457,5226,224,855,2191
3055,454,57,17,39,195,43,69,2565,2625,483,3607,873,2446,5964
5005,5144,57,19,22,137,63,81,2140,5009,25,4417,1210,4793,4733
521,3327,57,10,35,47,61,71,1901,1011,5121,2387,1178,2836,5743
2672,1353,57,10,57,333,41,41,1883,1937,1102,6296,1065,3969,2561
3328,2722,57,17,41,20,33,33,746,3524,3719,3629,500,5990,3093
5731,587,57,22,26,208,53,64,2443,141,3389,5391,689,4775,4078
1398,3542,57,19,46,227,49,59,1080,320,3313,3149,573,5610,5915
4514,3229,57,17,32,369,25,36,337,6293,1480,573,363,3228,6322
1515,916,57,19,50,136,50,66,1251,2942,4285,4646,959,5242,879
473,441,57,22,50,332,57,74,627,240,5644,959,192,1221,5747
5579,4062,57,10,72,333,60,56,1637,3730,61,5040,69,3567,4477
4250,5748,57,22,64,164,56,43,855,3534,1401,1675,838,311,4652
6077,5913,57,18,38,234,39,52,361,848,1899,5962,1048,5490,3330
6233,2539,57,22,58,137,54,84,958,5595,4536,4197,370,2989,2006
4817,3707,57,22,74,12,52,57,2376,6059,4353,6236,193,4206,183
6280,3082,57,22,64,12,29,34,2150,2176,6315,1186,228,2862,2895
505,1932,57,17,68,5,49,41,1824,1421,174,3140,669,992,3194
4072,1612,57,22,75,4,36,49,1536,6130,653,3395,1222,5112,1154
2528,3971,57,19,59,138,64,89,958,1398,5925,3453,165,882,184
2485,58,57,10,51,41,54,45,2615,2090,5953,4146,383,4834,465
5626,4225,57,19,55,12,52,66,2207,5884,6002,2372,378,871,1446
4023,696,57,22,51,49,59,77,2077,2204,5834,225,170,391,5440
3075,5153,57,18,53,337,49,75,2606,1223,2967,4021,1007,3946,1646
3942,3719,57,19,19,379,43,64,2567,4866,1030,1949,833,572,2420
314,3833,58,22,54,336,45,53,223,3727,2475,4916,822,4362,5845
5932,5789,58,22,61,12,38,35,2365,386,237,3456,933,5141,460
6037,4847,58,22,78,7,45,48,146,1909,2084,3104,95,747,4717
5506,1572,58,7,93,333,53,62,2318,5928,3613,123,194,3196,2968
4216,4265,58,19,23,84,59,68,2092,6195,4122,2007,995,2736,1888
5796,5073,58,18,52,4,45,66,563,4272,1676,2309,1002,2343,6010
1159,5809,58,16,25,136,38,46,2552,5844,840,4722,1031,2336,320
5991,2968,58,22,47,375,62,76,447,2145,46,1071,381,776,4675
5818,2611,58,17,69,309,53,78,156,3284,5734,5410,741,3024,1870
674,4959,58,22,80,286,59,55,2413,6156,4399,2757,838,4324,2122
315,1000,58,10,64,243,64,72,759,3661,5787,4188,1218,4595,927
1297,2940,58,10,51,286,46,79,2466,4460,4615,5693,457,3591,158
373,4146,58,22,38,176,60,48,932,2639,6112,5911,1142,188,103
4039,5509,58,10,66,3,50,65,1044,3936,3934,5019,544,1109,5990
6050,2012,58,17,26,239,48,24,631,53,2501,2444,609,5311,296
4821,2307,58,22,88,12,43,51,1050,2201,1842,2981,143,5596,93
3787,784,58,22,62,355,52,50,772,2018,2367,5187,1039,3752,5418
3543,5785,58,22,78,12,48,54,1699,5544,5284,2737,177,92,593
2592,3344,58,10,137,243,61,68,2264,5031,3621,665,998,3333,3741
5365,2615,58,18,78,80,56,65,1003,1830,897,5244,507,2892,1893
3796,3918,58,10,104,243,61,58,304,123,6115,3930,18,93,95
4569,3616,58,18,47,166,43,72,2306,834,3442,6225,367,1978,4248
2834,2083,58,22,61,164,56,67,2431,5767,2584,5430,749,4122,2900
1680,4915,58,10,77,336,50,48,223,3725,4887,2002,1143,4577,487
6159,1403,58,18,18,30,33,49,735,3934,791,4292,304,5703,3432
5204,5325,58,10,61,286,50,40,1687,2885,2556,3355,422,555,4965
312,4476,58,10,71,12,64,68,1033,429,28,433,123,6204,1030
4371,5148,58,10,62,251,41,47,1252,1515,743,4370,82,5801,1077
942,4799,58,22,55,40,45,43,176,1514,1836,4797,1014,5560,1952
2618,2404,58,10,58,123,59,80,2376,5205,5244,6079,92,3801,174
4232,5276,58,7,50,20,52,63,2274,5231,3607,3919,842,609,2982
1740,5171,58,22,31,217,50,56,1203,2620,1350,2468,732,5685,3973
6309,5141,58,7,43,296,52,76,2106,5092,2585,5800,150,1693,1872
4452,4492,58,18,40,366,41,56,701,4681,4391,2279,598,2795,2970
425,4522,58,3,46,299,50,44,1499,643,1968,2228,603,4650,546
4029,623,58,10,39,20,52,59,1631,1672,1971,696,493,1113,843
182,755,58,7,65,318,46,67,1540,5871,4824,2196,454,4253,688
3559,1325,58,22,60,7,47,53,2207,565,4297,3393,428,3634,4398
1662,4026,58,23,38,234,42,39,1160,2661,1068,2778,332,2207,4565
6047,5460,58,10,80,314,62,61,2318,2414,18,567,218,1197,6124
